'CODPRO','REFPRO','NOMPRO','PERAVI','PERPRA','DATCAD','DATEXP','INATIV'
89,'BB501C','BRINQ. PIST. DE AGUA REF:BB501C','0,00','14,98','16/05/2011 10:43:53','07/02/2013 01:15:08','N'
90,'BB500C','BRINQ. PISTOLA DE AGUA REF:BB500C','0,00','14,94','16/05/2011 10:44:37','07/02/2013 01:15:08','N'
91,'FL731-B','CARRINHO  DE BONECA REF:FL731-B','0,00','15,00','16/05/2011 10:45:52','07/02/2013 01:15:08','N'
92,'FL8137-2','CARRINHO DE BONECA REF:FL8137-2','0,00','14,98','16/05/2011 10:46:47','07/02/2013 01:15:08','N'
93,'FL735-2','CARRINHO DE BONECA REF:FL735-2','0,00','14,97','16/05/2011 10:49:48','07/02/2013 01:15:08','N'
94,'FL8110','CARRINHO DE BONECA RFL8110','0,00','14,98','16/05/2011 10:50:51','07/02/2013 01:15:08','N'
95,'BB56C','BRINQ. PIANO MUS INFAN REF:BB56C','55,23','55,23','16/05/2011 10:51:44','07/02/2013 01:15:08','N'
96,'BB45C','BRIN. PIANO MUS INFAN REF:BB45C','55,24','55,24','16/05/2011 10:52:51','07/02/2013 01:15:08','N'
97,'BB52B','BRINQ. PIANO MUS INFAN REF:BB52B','0,00','15,00','16/05/2011 10:54:37','07/02/2013 01:15:08','N'
98,'BB317','BRINQ LINHA APR REF:BB317','55,21','55,21','16/05/2011 10:56:04','07/02/2013 01:15:08','N'
99,'BB316','BRINQ LINHA APR REF:BB316','28,32','28,32','16/05/2011 10:56:52','07/02/2013 01:15:08','N'
100,'BB307','BRINQ LINHA APR REF:BB307','0,00','0,00','16/05/2011 10:57:38','07/02/2013 01:15:08','N'
101,'BB100AB','BRINQ LINHA APR REF:BB100AB','168,52','168,52','16/05/2011 10:59:28','07/02/2013 01:15:08','N'
102,'BB301/302A','BRINQ. LINHA APRE COLOR A REF:BB301/302A','0,00','0,00','16/05/2011 11:02:35','07/02/2013 01:15:08','N'
