'MATPRO','NOMPRO','VENAVI','VENPRA','DATCAD','DATEXP','INATIV'
'CX-24PCS','BRINQUEDO MIN CARR FRI IN REF:513','33,18','38,15','16/05/2011 10:33:34','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQUEDO MIN CARR FRI IN REF:518','43,63','43,63','16/05/2011 10:38:17','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. PIST. DE AGUA REF:BB510C','7,87','9,05','16/05/2011 10:39:49','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ. PIST. DE AGUA REF:BB506C','11,7','13,45','16/05/2011 10:40:47','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ. PIST. DE AGUA REF:BB503C','18,49','18,49','16/05/2011 10:42:13','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ. PIST. DE AGUA REF:BB502C','18,78','21,59','16/05/2011 10:43:08','07/02/2013 01:15:08','N'
'CX-24PCS','BRINQ. PIST. DE AGUA REF:BB501C','12,48','14,35','16/05/2011 10:43:53','07/02/2013 01:15:08','N'
'CX-48PCS','BRINQ. PISTOLA DE AGUA REF:BB500C','8,77','10,08','16/05/2011 10:44:37','07/02/2013 01:15:08','N'
'CX-12PCS','CARRINHO  DE BONECA REF:FL731-B','38,8','44,62','16/05/2011 10:45:52','07/02/2013 01:15:08','N'
'CX-6PCS','CARRINHO DE BONECA REF:FL8137-2','60,73','69,83','16/05/2011 10:46:47','07/02/2013 01:15:08','N'
'CX-18PCS','CARRINHO DE BONECA REF:FL735-2','24,18','27,8','16/05/2011 10:49:48','07/02/2013 01:15:08','N'
'CX-6PCS','CARRINHO DE BONECA RFL8110','35,65','40,99','16/05/2011 10:50:51','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ. PIANO MUS INFAN REF:BB56C','93,4','93,4','16/05/2011 10:51:44','07/02/2013 01:15:08','N'
'CX-12PCS','BRIN. PIANO MUS INFAN REF:BB45C','116,97','116,97','16/05/2011 10:52:51','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ. PIANO MUS INFAN REF:BB52B','79,28','91,17','16/05/2011 10:54:37','07/02/2013 01:15:08','N'
'CX-12PCS','BRINQ LINHA APR REF:BB317','66,32','66,32','16/05/2011 10:56:04','07/02/2013 01:15:08','N'
'CX-18PCS','BRINQ LINHA APR REF:BB316','46,9','46,9','16/05/2011 10:56:52','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ LINHA APR REF:BB307',0,0,'16/05/2011 10:57:38','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ LINHA APR REF:BB100AB','71,4','71,4','16/05/2011 10:59:28','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ. LINHA APRE COLOR A REF:BB301/302A',0,0,'16/05/2011 11:02:35','07/02/2013 01:15:08','N'
'CX-6PCS','BRINQ. LINHA APRE COLOR B REF:BB301/302B',0,0,'16/05/2011 11:03:59','07/02/2013 01:15:08','N'
